number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_exposure,params_min_sector_weight,params_momentum_lookback,params_risk_reduction_factor,params_rs_lookback,params_smooth_scaling,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_vol_percentile,params_vol_window,params_volatility_window,params_weight_smoothing_alpha,state
0,-0.41595207100270887,2026-02-06 04:25:29.733671,2026-02-06 04:25:30.093986,0 days 00:00:00.360315,0.5,0.1,0.04,5,0.7,70,False,3,50,False,0.3,30,16,0.4,COMPLETE
1,0.05454161286491497,2026-02-06 04:25:30.094733,2026-02-06 04:25:30.570803,0 days 00:00:00.476070,0.4,0.1,0.03,20,0.5,40,True,3,40,False,0.2,40,16,0.4,COMPLETE
2,0.16194261035532737,2026-02-06 04:25:30.571483,2026-02-06 04:25:31.109070,0 days 00:00:00.537587,0.5,0.30000000000000004,0.05,10,0.4,90,False,2,20,True,0.3,30,10,0.30000000000000004,COMPLETE
3,0.015110910083791142,2026-02-06 04:25:31.109737,2026-02-06 04:25:31.585219,0 days 00:00:00.475482,0.3,0.2,0.05,30,0.4,80,True,4,20,False,0.1,30,52,0.1,COMPLETE
4,-0.43114956536582055,2026-02-06 04:25:31.585868,2026-02-06 04:25:32.019251,0 days 00:00:00.433383,0.4,0.1,0.01,5,0.6000000000000001,90,True,3,20,True,0.25,80,52,0.5,COMPLETE
5,-0.17679790233574347,2026-02-06 04:25:32.019898,2026-02-06 04:25:32.375877,0 days 00:00:00.355979,0.4,0.30000000000000004,0.02,10,0.6000000000000001,20,True,6,60,True,0.25,30,22,0.30000000000000004,COMPLETE
6,-0.20733996320502845,2026-02-06 04:25:32.376554,2026-02-06 04:25:32.748166,0 days 00:00:00.371612,0.35,0.1,0.01,5,0.4,20,True,4,60,False,0.25,60,40,0.2,COMPLETE
7,-0.0031571551574303227,2026-02-06 04:25:32.748828,2026-02-06 04:25:33.104603,0 days 00:00:00.355775,0.45,0.2,0.04,25,0.4,90,False,6,60,True,0.05,50,16,0.5,COMPLETE
8,-0.1094266684685387,2026-02-06 04:25:33.105254,2026-02-06 04:25:33.781175,0 days 00:00:00.675921,0.4,0.2,0.03,5,0.7,30,True,2,40,True,0.3,50,22,0.4,COMPLETE
9,-0.6749923640848524,2026-02-06 04:25:33.781843,2026-02-06 04:25:34.555520,0 days 00:00:00.773677,0.25,0.4,0.04,5,0.6000000000000001,60,False,3,20,True,0.1,100,22,0.30000000000000004,COMPLETE
10,-0.365722463822752,2026-02-06 04:25:34.556191,2026-02-06 04:25:35.143442,0 days 00:00:00.587251,0.5,0.4,0.05,15,0.3,100,False,2,30,True,0.15000000000000002,80,34,0.1,COMPLETE
