number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
0,0.23169773933936466,2026-02-06 02:30:18.285684,2026-02-06 02:30:19.207045,0 days 00:00:00.921361,0.5,0.04,5,70,3,50,False,16,0.4,COMPLETE
1,0.24607687762168196,2026-02-06 02:30:19.207945,2026-02-06 02:30:20.854346,0 days 00:00:01.646401,0.5,0.05,10,30,2,40,False,16,0.2,COMPLETE
2,0.33703462369539455,2026-02-06 02:30:20.854931,2026-02-06 02:30:22.403877,0 days 00:00:01.548946,0.25,0.02,15,50,5,40,False,46,0.1,COMPLETE
3,0.42321138579493295,2026-02-06 02:30:22.404444,2026-02-06 02:30:23.458823,0 days 00:00:01.054379,0.3,0.01,30,100,5,50,True,46,0.30000000000000004,COMPLETE
4,0.25096416426461593,2026-02-06 02:30:23.459408,2026-02-06 02:30:24.876904,0 days 00:00:01.417496,0.35,0.01,10,100,2,40,False,40,0.1,COMPLETE
5,0.35543162304088455,2026-02-06 02:30:24.877468,2026-02-06 02:30:25.745124,0 days 00:00:00.867656,0.45,0.05,20,100,6,20,False,52,0.2,COMPLETE
6,0.28020492896519644,2026-02-06 02:30:25.745688,2026-02-06 02:30:30.141626,0 days 00:00:04.395938,0.3,0.05,10,50,3,20,False,34,0.5,COMPLETE
7,0.33636373839759076,2026-02-06 02:30:30.142187,2026-02-06 02:30:31.292262,0 days 00:00:01.150075,0.3,0.01,25,90,5,30,True,40,0.1,COMPLETE
8,0.30725930573297056,2026-02-06 02:30:31.292839,2026-02-06 02:30:32.239481,0 days 00:00:00.946642,0.4,0.02,10,20,6,60,True,22,0.30000000000000004,COMPLETE
9,0.3840790361869381,2026-02-06 02:30:32.240069,2026-02-06 02:30:35.739595,0 days 00:00:03.499526,0.45,0.04,25,70,2,20,True,28,0.1,COMPLETE
10,0.37910804215793953,2026-02-06 02:30:35.740307,2026-02-06 02:30:40.469261,0 days 00:00:04.728954,0.25,0.02,30,80,4,60,True,52,0.4,COMPLETE
11,0.3144392583497048,2026-02-06 02:30:40.469810,2026-02-06 02:30:41.586316,0 days 00:00:01.116506,0.35,0.03,30,70,4,50,True,28,0.30000000000000004,COMPLETE
12,0.34078616084584773,2026-02-06 02:30:41.586885,2026-02-06 02:30:42.582558,0 days 00:00:00.995673,0.4,0.04,25,80,5,30,True,28,0.2,COMPLETE
13,0.30499137447462493,2026-02-06 02:30:42.583246,2026-02-06 02:30:43.836164,0 days 00:00:01.252918,0.45,0.03,25,50,3,50,True,10,0.4,COMPLETE
14,0.42392466898023795,2026-02-06 02:30:43.837034,2026-02-06 02:30:44.848432,0 days 00:00:01.011398,0.45,0.04,30,90,5,30,True,34,0.30000000000000004,COMPLETE
15,0.4210129287175565,2026-02-06 02:30:44.849004,2026-02-06 02:30:45.976792,0 days 00:00:01.127788,0.3,0.03,30,90,5,30,True,40,0.30000000000000004,COMPLETE
16,0.38686202864298347,2026-02-06 02:30:45.977365,2026-02-06 02:30:46.930033,0 days 00:00:00.952668,0.35,0.01,20,100,6,50,True,46,0.5,COMPLETE
17,0.42385216669790676,2026-02-06 02:30:46.930617,2026-02-06 02:30:47.917635,0 days 00:00:00.987018,0.4,0.04,30,90,4,30,True,34,0.4,COMPLETE
18,0.41800010041675156,2026-02-06 02:30:47.918214,2026-02-06 02:30:48.888137,0 days 00:00:00.969923,0.4,0.04,20,80,4,30,True,34,0.4,COMPLETE
19,0.29945244803748133,2026-02-06 02:30:48.888713,2026-02-06 02:30:49.844616,0 days 00:00:00.955903,0.45,0.04,30,60,4,30,True,22,0.5,COMPLETE
20,0.32537610357572555,2026-02-06 02:30:49.845214,2026-02-06 02:30:50.797515,0 days 00:00:00.952301,0.5,0.05,15,90,3,20,True,34,0.4,COMPLETE
21,0.41984906806805616,2026-02-06 02:30:50.798109,2026-02-06 02:30:51.745922,0 days 00:00:00.947813,0.4,0.03,30,90,5,40,True,46,0.30000000000000004,COMPLETE
22,0.3610490609002874,2026-02-06 02:30:51.746500,2026-02-06 02:30:52.729361,0 days 00:00:00.982861,0.35,0.04,25,100,5,30,True,40,0.2,COMPLETE
23,0.38550291419230215,2026-02-06 02:30:52.730437,2026-02-06 02:30:53.725664,0 days 00:00:00.995227,0.45,0.02,30,80,4,40,True,34,0.30000000000000004,COMPLETE
24,0.36524322806856435,2026-02-06 02:30:53.726368,2026-02-06 02:30:54.721349,0 days 00:00:00.994981,0.3,0.04,25,90,6,60,True,46,0.4,COMPLETE
25,0.4502224104342182,2026-02-06 02:30:54.721943,2026-02-06 02:30:55.762253,0 days 00:00:01.040310,0.4,0.03,30,100,4,40,True,22,0.30000000000000004,COMPLETE
26,0.3372092670093274,2026-02-06 02:30:55.762848,2026-02-06 02:30:56.963306,0 days 00:00:01.200458,0.4,0.03,25,60,4,30,True,22,0.2,COMPLETE
27,0.4186206408697851,2026-02-06 02:30:56.963905,2026-02-06 02:30:58.001302,0 days 00:00:01.037397,0.45,0.03,30,90,4,40,True,16,0.4,COMPLETE
28,0.3624343961448386,2026-02-06 02:30:58.001862,2026-02-06 02:30:59.429138,0 days 00:00:01.427276,0.4,0.04,20,80,3,30,True,28,0.30000000000000004,COMPLETE
29,0.27990861118259863,2026-02-06 02:30:59.429867,2026-02-06 02:31:00.315797,0 days 00:00:00.885930,0.5,0.05,30,40,4,20,False,16,0.4,COMPLETE
30,0.2171335859082485,2026-02-06 02:31:00.316366,2026-02-06 02:31:01.394204,0 days 00:00:01.077838,0.5,0.04,5,70,3,40,True,22,0.5,COMPLETE
31,0.40813387059717476,2026-02-06 02:31:01.394760,2026-02-06 02:31:02.419292,0 days 00:00:01.024532,0.35,0.02,30,100,5,50,True,10,0.30000000000000004,COMPLETE
32,0.4260278780583508,2026-02-06 02:31:02.419861,2026-02-06 02:31:03.370660,0 days 00:00:00.950799,0.4,0.01,30,100,5,40,True,34,0.2,COMPLETE
33,0.3588934994998539,2026-02-06 02:31:03.371230,2026-02-06 02:31:04.368983,0 days 00:00:00.997753,0.4,0.05,25,100,5,40,True,34,0.2,COMPLETE
34,0.43321876075803334,2026-02-06 02:31:04.369557,2026-02-06 02:31:05.350104,0 days 00:00:00.980547,0.45,0.02,30,90,4,40,False,28,0.2,COMPLETE
35,0.4215604965778251,2026-02-06 02:31:05.350654,2026-02-06 02:31:06.257758,0 days 00:00:00.907104,0.45,0.02,30,100,5,40,False,28,0.2,COMPLETE
36,0.3281861513143858,2026-02-06 02:31:06.258399,2026-02-06 02:31:07.150298,0 days 00:00:00.891899,0.5,0.01,25,100,6,40,False,22,0.2,COMPLETE
37,0.3557044631045653,2026-02-06 02:31:07.150873,2026-02-06 02:31:08.058579,0 days 00:00:00.907706,0.45,0.02,5,90,4,40,False,28,0.1,COMPLETE
38,0.35527193041800736,2026-02-06 02:31:08.059215,2026-02-06 02:31:09.085181,0 days 00:00:01.025966,0.45,0.01,30,70,5,40,False,16,0.2,COMPLETE
39,0.3335685601870527,2026-02-06 02:31:09.085721,2026-02-06 02:31:10.001932,0 days 00:00:00.916211,0.4,0.01,15,80,4,50,False,40,0.2,COMPLETE
40,0.26627431919183747,2026-02-06 02:31:10.002496,2026-02-06 02:31:10.934922,0 days 00:00:00.932426,0.45,0.02,25,30,5,40,False,22,0.1,COMPLETE
41,0.43386589365767286,2026-02-06 02:31:10.935490,2026-02-06 02:31:11.894585,0 days 00:00:00.959095,0.4,0.03,30,90,4,30,False,34,0.30000000000000004,COMPLETE
