number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
0,0.38303015716886596,2026-02-06 01:55:43.978366,2026-02-06 01:55:44.908447,0 days 00:00:00.930081,0.5,0.04,5,70,3,50,False,16,0.4,COMPLETE
1,0.3847645707874147,2026-02-06 01:55:44.908993,2026-02-06 01:55:46.536630,0 days 00:00:01.627637,0.5,0.05,10,30,2,40,False,16,0.2,COMPLETE
2,0.584796933598313,2026-02-06 01:55:46.537127,2026-02-06 01:55:48.204811,0 days 00:00:01.667684,0.25,0.02,15,50,5,40,False,46,0.1,COMPLETE
3,0.6504153768871299,2026-02-06 01:55:48.205287,2026-02-06 01:55:49.248654,0 days 00:00:01.043367,0.3,0.01,30,100,5,50,True,46,0.30000000000000004,COMPLETE
4,0.34503157505792553,2026-02-06 01:55:49.249112,2026-02-06 01:55:50.754678,0 days 00:00:01.505566,0.35,0.01,10,100,2,40,False,40,0.1,COMPLETE
5,0.5610327127058922,2026-02-06 01:55:50.755465,2026-02-06 01:55:51.648243,0 days 00:00:00.892778,0.45,0.05,20,100,6,20,False,52,0.2,COMPLETE
6,0.4820122944952567,2026-02-06 01:55:51.648705,2026-02-06 01:55:56.247356,0 days 00:00:04.598651,0.3,0.05,10,50,3,20,False,34,0.5,COMPLETE
7,0.5352287776965955,2026-02-06 01:55:56.247803,2026-02-06 01:55:57.384065,0 days 00:00:01.136262,0.3,0.01,25,90,5,30,True,40,0.1,COMPLETE
8,0.5349968574511385,2026-02-06 01:55:57.384597,2026-02-06 01:55:58.303082,0 days 00:00:00.918485,0.4,0.02,10,20,6,60,True,22,0.30000000000000004,COMPLETE
9,0.5570278337054703,2026-02-06 01:55:58.303541,2026-02-06 01:56:01.935785,0 days 00:00:03.632244,0.45,0.04,25,70,2,20,True,28,0.1,COMPLETE
10,0.5671311968607925,2026-02-06 01:56:01.936269,2026-02-06 01:56:06.665301,0 days 00:00:04.729032,0.25,0.02,30,80,4,60,True,52,0.4,COMPLETE
11,0.5713429234341126,2026-02-06 01:56:06.665766,2026-02-06 01:56:08.451367,0 days 00:00:01.785601,0.25,0.02,20,50,5,50,True,46,0.30000000000000004,COMPLETE
12,0.46119474377016506,2026-02-06 01:56:08.451842,2026-02-06 01:56:09.462154,0 days 00:00:01.010312,0.3,0.01,30,40,5,50,False,40,0.2,COMPLETE
13,0.5236265680476795,2026-02-06 01:56:09.462604,2026-02-06 01:56:14.198316,0 days 00:00:04.735712,0.25,0.03,15,60,4,30,True,46,0.4,COMPLETE
14,0.5623453088145811,2026-02-06 01:56:14.199076,2026-02-06 01:56:15.112615,0 days 00:00:00.913539,0.35,0.02,15,80,5,40,False,34,0.30000000000000004,COMPLETE
