number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
0,0.45094698343736783,2026-02-06 02:22:38.018166,2026-02-06 02:22:38.934783,0 days 00:00:00.916617,0.5,0.04,5,70,3,50,False,16,0.4,COMPLETE
1,0.45888601727646866,2026-02-06 02:22:38.935454,2026-02-06 02:22:40.555311,0 days 00:00:01.619857,0.5,0.05,10,30,2,40,False,16,0.2,COMPLETE
2,0.6990907134845846,2026-02-06 02:22:40.555905,2026-02-06 02:22:42.105877,0 days 00:00:01.549972,0.25,0.02,15,50,5,40,False,46,0.1,COMPLETE
3,0.780189216215204,2026-02-06 02:22:42.106439,2026-02-06 02:22:43.146256,0 days 00:00:01.039817,0.3,0.01,30,100,5,50,True,46,0.30000000000000004,COMPLETE
4,0.4023858731625006,2026-02-06 02:22:43.146820,2026-02-06 02:22:44.573719,0 days 00:00:01.426899,0.35,0.01,10,100,2,40,False,40,0.1,COMPLETE
5,0.6689615030441928,2026-02-06 02:22:44.574275,2026-02-06 02:22:45.435542,0 days 00:00:00.861267,0.45,0.05,20,100,6,20,False,52,0.2,COMPLETE
6,0.5763279414444499,2026-02-06 02:22:45.436092,2026-02-06 02:22:49.765861,0 days 00:00:04.329769,0.3,0.05,10,50,3,20,False,34,0.5,COMPLETE
7,0.6443596494332181,2026-02-06 02:22:49.766422,2026-02-06 02:22:50.834825,0 days 00:00:01.068403,0.3,0.01,25,90,5,30,True,40,0.1,COMPLETE
8,0.6270560296061658,2026-02-06 02:22:50.835389,2026-02-06 02:22:51.762677,0 days 00:00:00.927288,0.4,0.02,10,20,6,60,True,22,0.30000000000000004,COMPLETE
9,0.6766245631300452,2026-02-06 02:22:51.763236,2026-02-06 02:22:55.277347,0 days 00:00:03.514111,0.45,0.04,25,70,2,20,True,28,0.1,COMPLETE
10,0.6886918712388646,2026-02-06 02:22:55.277916,2026-02-06 02:22:59.956224,0 days 00:00:04.678308,0.25,0.02,30,80,4,60,True,52,0.4,COMPLETE
11,0.6821512995503757,2026-02-06 02:22:59.956879,2026-02-06 02:23:01.715316,0 days 00:00:01.758437,0.25,0.02,20,50,5,50,True,46,0.30000000000000004,COMPLETE
12,0.5362935968676077,2026-02-06 02:23:01.716044,2026-02-06 02:23:02.822579,0 days 00:00:01.106535,0.3,0.01,30,40,5,50,False,40,0.2,COMPLETE
13,0.6261735025662432,2026-02-06 02:23:02.823152,2026-02-06 02:23:07.521020,0 days 00:00:04.697868,0.25,0.03,15,60,4,30,True,46,0.4,COMPLETE
14,0.6661609265364776,2026-02-06 02:23:07.521683,2026-02-06 02:23:08.500510,0 days 00:00:00.978827,0.35,0.02,15,80,5,40,False,34,0.30000000000000004,COMPLETE
15,0.5871059477048985,2026-02-06 02:23:08.501090,2026-02-06 02:23:09.490289,0 days 00:00:00.989199,0.3,0.01,25,50,6,50,True,46,0.2,COMPLETE
16,0.7214535973056697,2026-02-06 02:23:09.490857,2026-02-06 02:23:13.937087,0 days 00:00:04.446230,0.25,0.03,20,30,4,30,False,52,0.5,COMPLETE
17,0.480446672843698,2026-02-06 02:23:13.937668,2026-02-06 02:23:16.556841,0 days 00:00:02.619173,0.35,0.03,30,20,3,30,True,52,0.5,COMPLETE
18,0.708377786279213,2026-02-06 02:23:16.557409,2026-02-06 02:23:18.682661,0 days 00:00:02.125252,0.3,0.04,20,30,4,30,True,10,0.5,COMPLETE
19,0.7391320346478876,2026-02-06 02:23:18.683232,2026-02-06 02:23:19.616290,0 days 00:00:00.933058,0.4,0.03,25,90,4,60,False,28,0.4,COMPLETE
20,0.7037867359790567,2026-02-06 02:23:19.616850,2026-02-06 02:23:20.921027,0 days 00:00:01.304177,0.4,0.04,25,90,3,60,True,28,0.4,COMPLETE
21,0.7292045907181915,2026-02-06 02:23:20.921582,2026-02-06 02:23:21.895984,0 days 00:00:00.974402,0.4,0.03,30,90,4,60,False,22,0.4,COMPLETE
22,0.7292045907181915,2026-02-06 02:23:21.896569,2026-02-06 02:23:22.879439,0 days 00:00:00.982870,0.4,0.03,30,90,4,60,False,22,0.4,COMPLETE
23,0.7284330671795626,2026-02-06 02:23:22.880003,2026-02-06 02:23:23.804957,0 days 00:00:00.924954,0.45,0.03,30,100,4,60,False,22,0.30000000000000004,COMPLETE
24,0.6675222462938222,2026-02-06 02:23:23.805515,2026-02-06 02:23:24.712947,0 days 00:00:00.907432,0.4,0.04,25,80,5,50,False,28,0.4,COMPLETE
